,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,城市
660,002663,普邦园林,广州普邦园林股份有限公司,002663,普邦园林,2012年3月16日,广东广州市
661,002664,信质电机,信质电机股份有限公司,002664,信质电机,2012年3月16日,浙江台州市
662,002665,首航节能,北京首航艾启威节能技术股份有限公司,002665,首航节能,2012年3月27日,北京市
663,002666,德联集团,广东德联集团股份有限公司,002666,德联集团,2012年3月27日,广东佛山市
664,002667,鞍重股份,鞍山重型矿山机器股份有限公司,002667,鞍重股份,2012年3月29日,辽宁鞍山市
665,002668,奥马电器,广东奥马电器股份有限公司,002668,奥马电器,2012年4月16日,广东中山市
666,002669,康达新材,上海康达化工新材料股份有限公司,002669,康达新材,2012年4月16日,上海市
667,002670,华声股份,广东华声电器股份有限公司,002670,华声股份,2012年4月16日,广东佛山市
668,002671,龙泉股份,山东龙泉管道工程股份有限公司,002671,龙泉股份,2012年4月26日,山东淄博市
669,002672,东江环保,东江环保股份有限公司,002672,东江环保,2012年4月26日,广东深圳市
670,002673,西部证券,西部证券股份有限公司,002673,西部证券,2012年5月3日,陕西西安市
671,002674,兴业科技,兴业皮革科技股份有限公司,002674,兴业科技,2012年5月7日,福建泉州市
672,002675,东诚药业,烟台东诚药业集团股份有限公司,002675,东诚药业,2012年5月25日,山东烟台市
673,002676,顺威股份,广东顺威精密塑料股份有限公司,002676,顺威股份,2012年5月25日,广东佛山市
674,002677,浙江美大,浙江美大实业股份有限公司,002677,浙江美大,2012年5月25日,浙江嘉兴市
675,002678,珠江钢琴,广州珠江钢琴集团股份有限公司,002678,珠江钢琴,2012年5月30日,广东广州市
676,002679,福建金森,福建金森林业股份有限公司,002679,福建金森,2012年6月5日,福建三明市
677,002680,黄海机械,连云港黄海机械股份有限公司,002680,黄海机械,2012年6月5日,江苏连云港市
678,002681,奋达科技,深圳市奋达科技股份有限公司,002681,奋达科技,2012年6月5日,广东深圳市
679,002682,龙洲股份,福建龙洲运输股份有限公司,002682,龙洲股份,2012年6月12日,福建龙岩市
680,002683,宏大爆破,广东宏大爆破股份有限公司,002683,宏大爆破,2012年6月12日,广东广州市
681,002684,猛狮科技,广东猛狮新能源科技股份有限公司,002684,猛狮科技,2012年6月12日,广东汕头市
682,002685,华东重机,无锡华东重型机械股份有限公司,002685,华东重机,2012年6月12日,江苏无锡市
683,002686,亿利达,浙江亿利达风机股份有限公司,002686,亿利达,2012年7月3日,浙江台州市
684,002687,乔治白,浙江乔治白服饰股份有限公司,002687,乔治白,2012年7月13日,浙江温州市
685,002688,金河生物,金河生物科技股份有限公司,002688,金河生物,2012年7月13日,内蒙古呼和浩特市
686,002689,远大智能,沈阳远大智能工业集团股份有限公司,002689,远大智能,2012年7月17日,辽宁沈阳市
687,002690,美亚光电,合肥美亚光电技术股份有限公司,002690,美亚光电,2012年7月31日,安徽合肥市
688,002691,冀凯股份,冀凯装备制造股份有限公司,002691,冀凯股份,2012年7月31日,河北石家庄市
689,002692,远程电缆,远程电缆股份有限公司,002692,远程电缆,2012年8月8日,江苏无锡市
690,002693,双成药业,海南双成药业股份有限公司,002693,双成药业,2012年8月8日,海南海口市
691,002694,顾地科技,顾地科技股份有限公司,002694,顾地科技,2012年8月16日,湖北鄂州市
692,002695,煌上煌,江西煌上煌集团食品股份有限公司,002695,煌上煌,2012年9月5日,江西南昌市
693,002696,百洋股份,百洋产业投资集团股份有限公司,002696,百洋股份,2012年9月5日,广西南宁市
694,002697,红旗连锁,成都红旗连锁股份有限公司,002697,红旗连锁,2012年9月5日,四川成都市
695,002698,博实股份,哈尔滨博实自动化股份有限公司,002698,博实股份,2012年9月11日,黑龙江哈尔滨市
696,002699,美盛文化,美盛文化创意股份有限公司,002699,美盛文化,2012年9月11日,浙江绍兴市
697,002700,新疆浩源,新疆浩源天然气股份有限公司,002700,新疆浩源,2012年9月21日,新疆阿克苏地区
698,002701,奥瑞金,奥瑞金包装股份有限公司,002701,奥瑞金,2012年10月11日,北京市
699,002702,海欣食品,海欣食品股份有限公司,002702,海欣食品,2012年10月11日,福建福州市
700,002703,浙江世宝,浙江世宝股份有限公司,002703,浙江世宝,2012年11月2日,浙江金华市
701,002705,新宝股份,广东新宝电器股份有限公司,002705,新宝股份,2014年1月21日,广东佛山市
702,002706,良信电器,上海良信电器股份有限公司,002706,良信电器,2014年1月21日,上海市
703,002707,众信旅游,北京众信国际旅行社股份有限公司,002707,众信旅游,2014年1月23日,北京市
704,002708,光洋股份,常州光洋轴承股份有限公司,002708,光洋股份,2014年1月21日,江苏常州市
705,002709,天赐材料,广州天赐高新材料股份有限公司,002709,天赐材料,2014年1月23日,广东广州市
706,002711,欧浦智网,欧浦智网股份有限公司,002711,欧浦智网,2014年1月27日,广东佛山市
707,002712,思美传媒,思美传媒股份有限公司,002712,思美传媒,2014年1月23日,浙江杭州市
708,002713,东易日盛,东易日盛家居装饰集团股份有限公司,002713,东易日盛,2014年2月19日,北京市
709,002714,牧原股份,牧原食品股份有限公司,002714,牧原股份,2014年1月28日,河南南阳市
710,002715,登云股份,怀集登云汽配股份有限公司,002715,登云股份,2014年2月19日,广东肇庆市
711,002716,金贵银业,郴州市金贵银业股份有限公司,002716,金贵银业,2014年1月28日,湖南郴州市
712,002717,岭南园林,岭南园林股份有限公司,002717,岭南园林,2014年2月19日,广东东莞市
713,002718,友邦吊顶,浙江友邦集成吊顶股份有限公司,002718,友邦吊顶,2014年1月28日,浙江嘉兴市
714,002719,麦趣尔,麦趣尔集团股份有限公司,002719,麦趣尔,2014年1月28日,新疆昌吉回族自治州
715,002721,金一文化,北京金一文化发展股份有限公司,002721,金一文化,2014年1月27日,北京市
