,公司全称,A股代码,A股简称,A股时间,B股代码,B股简称,B股时间,城市
205,吉林成城集团股份有限公司,600247,ST成城,2000-11-23,,,,吉林省吉林市
206,陕西延长石油化建股份有限公司,600248,延长化建,2000-06-22,,,,陕西省杨凌农业高新技术产业示范区
207,柳州两面针股份有限公司,600249,两面针,2004-01-30,,,,广西壮族自治区柳州市
208,南京纺织品进出口股份有限公司,600250,南纺股份,2001-03-06,,,,江苏省南京市
209,新疆冠农果茸集团股份有限公司,600251,冠农股份,2003-06-09,,,,新疆维吾尔自治区巴音郭楞蒙古自治州
210,广西梧州中恒集团股份有限公司,600252,中恒集团,2000-11-30,,,,广西壮族自治区梧州市
211,安徽鑫科新材料股份有限公司,600255,鑫科材料,2000-11-22,,,,安徽省芜湖市
212,广汇能源股份有限公司,600256,广汇能源,2000-05-26,,,,新疆维吾尔自治区乌鲁木齐市
213,大湖水殖股份有限公司,600257,大湖股份,2000-06-12,,,,湖南省常德市
214,北京首旅酒店（集团）股份有限公司,600258,首旅酒店,2000-06-01,,,,北京市
215,广晟有色金属股份有限公司,600259,广晟有色,2000-05-25,,,,海南省海口市
216,湖北凯乐科技股份有限公司,600260,凯乐科技,2000-07-06,,,,湖北省荆州市
217,浙江阳光照明电器集团股份有限公司,600261,阳光照明,2000-07-20,,,,浙江省绍兴市
218,内蒙古北方重型汽车股份有限公司,600262,北方股份,2000-06-30,,,,内蒙古自治区包头市
219,云南景谷林业股份有限公司,600265,ST景谷,2000-08-25,,,,云南省普洱市
220,北京城建投资发展股份有限公司,600266,北京城建,1999-02-03,,,,北京市
221,浙江海正药业股份有限公司,600267,海正药业,2000-07-25,,,,浙江省台州市
222,国电南京自动化股份有限公司,600268,国电南自,1999-11-18,,,,江苏省南京市
223,江西赣粤高速公路股份有限公司,600269,赣粤高速,2000-05-18,,,,江西省南昌市
224,中外运空运发展股份有限公司,600270,外运发展,2000-12-28,,,,北京市
225,航天信息股份有限公司,600271,航天信息,2003-07-11,,,,北京市
226,上海开开实业股份有限公司,600272,开开实业,1997-01-08,900943,开开B股,1997-01-08,上海市
227,浙江嘉化能源化工股份有限公司,600273,嘉化能源,2003-06-27,,,,浙江省嘉兴市
228,湖北武昌鱼股份有限公司,600275,武昌鱼,2000-08-10,,,,湖北省鄂州市
229,江苏恒瑞医药股份有限公司,600276,恒瑞医药,2000-10-18,,,,江苏省连云港市
230,亿利洁能股份有限公司,600277,亿利洁能,2000-07-25,,,,内蒙古自治区鄂尔多斯市
231,东方国际创业股份有限公司,600278,东方创业,2000-07-12,,,,上海市
232,重庆港九股份有限公司,600279,重庆港九,2000-07-31,,,,重庆市
233,南京中央商场（集团）股份有限公司,600280,中央商场,2000-09-26,,,,江苏省南京市
234,太原化工股份有限公司,600281,太化股份,2000-11-09,,,,山西省太原市
235,南京钢铁股份有限公司,600282,南钢股份,2000-09-19,,,,江苏省南京市
236,钱江水利开发股份有限公司,600283,钱江水利,2000-10-18,,,,浙江省杭州市
237,上海浦东路桥建设股份有限公司,600284,浦东建设,2004-03-16,,,,上海市
238,河南羚锐制药股份有限公司,600285,羚锐制药,2000-10-18,,,,河南省信阳市
239,江苏舜天股份有限公司,600287,江苏舜天,2000-09-01,,,,江苏省南京市
240,大恒新纪元科技股份有限公司,600288,大恒科技,2000-11-29,,,,北京市
241,亿阳信通股份有限公司,600289,亿阳信通,2000-07-20,,,,黑龙江省哈尔滨市
242,华仪电气股份有限公司,600290,华仪电气,2000-11-06,,,,浙江省温州市
243,内蒙古西水创业股份有限公司,600291,西水股份,2000-07-31,,,,内蒙古自治区乌海市
244,国家电投集团远达环保股份有限公司,600292,远达环保,2000-11-01,,,,重庆市
245,湖北三峡新型建材股份有限公司,600293,三峡新材,2000-09-19,,,,湖北省宜昌市
246,内蒙古鄂尔多斯资源股份有限公司,600295,鄂尔多斯,1995-10-20,900936,鄂资B股,1995-10-20,内蒙古自治区鄂尔多斯市
247,广汇汽车服务股份公司,600297,广汇汽车,2000-11-16,,,,辽宁省大连市
248,安琪酵母股份有限公司,600298,安琪酵母,2000-08-18,,,,湖北省宜昌市
249,蓝星安迪苏股份有限公司,600299,安迪苏,2000-04-20,,,,北京市
250,维维食品饮料股份有限公司,600300,维维股份,2000-06-30,,,,江苏省徐州市
251,南宁化工股份有限公司,600301,*ST南化,2000-07-12,,,,广西壮族自治区南宁市
252,西安标准工业股份有限公司,600302,标准股份,2000-12-13,,,,陕西省西安市
253,辽宁曙光汽车集团股份有限公司,600303,曙光股份,2000-12-26,,,,辽宁省丹东市
254,江苏恒顺醋业股份有限公司,600305,恒顺醋业,2001-02-06,,,,江苏省镇江市
255,沈阳商业城股份有限公司,600306,*ST商城,2000-12-26,,,,辽宁省沈阳市
256,甘肃酒钢集团宏兴钢铁股份有限公司,600307,酒钢宏兴,2000-12-20,,,,甘肃省嘉峪关市
257,山东华泰纸业股份有限公司,600308,华泰股份,2000-09-28,,,,山东省东营市
258,万华化学集团股份有限公司,600309,万华化学,2001-01-05,,,,山东省烟台市
259,广西桂东电力股份有限公司,600310,桂东电力,2001-02-28,,,,广西壮族自治区贺州市
260,甘肃荣华实业（集团）股份有限公司,600311,荣华实业,2001-06-26,,,,甘肃省武威市
261,河南平高电气股份有限公司,600312,平高电气,2001-02-21,,,,河南省平顶山市
262,中农发种业集团股份有限公司,600313,农发种业,2001-01-19,,,,北京市
263,上海家化联合股份有限公司,600315,上海家化,2001-03-15,,,,上海市
264,江西洪都航空工业股份有限公司,600316,洪都航空,2000-12-15,,,,江西省南昌市
265,营口港务股份有限公司,600317,营口港,2002-01-31,,,,辽宁省营口市
266,安徽新力金融股份有限公司,600318,新力金融,2000-12-08,,,,安徽省合肥市
267,潍坊亚星化学股份有限公司,600319,*ST亚星,2001-03-26,,,,山东省潍坊市
268,上海振华重工（集团）股份有限公司,600320,振华重工,2000-12-21,900947,振华B股,1997-08-05,上海市
269,四川国栋建设股份有限公司,600321,国栋建设,2001-05-24,,,,四川省成都市
270,天津市房地产发展（集团）股份有限公司,600322,天房发展,2001-09-10,,,,天津市
271,瀚蓝环境股份有限公司,600323,瀚蓝环境,2000-12-25,,,,广东省佛山市
272,珠海华发实业股份有限公司,600325,华发股份,2004-02-25,,,,广东省珠海市
273,西藏天路股份有限公司,600326,西藏天路,2001-01-16,,,,西藏自治区拉萨市
274,无锡商业大厦大东方股份有限公司,600327,大东方,2002-06-25,,,,江苏省无锡市
275,内蒙古兰太实业股份有限公司,600328,兰太实业,2000-12-22,,,,内蒙古自治区阿拉善盟
276,天津中新药业集团股份有限公司,600329,中新药业,2001-06-06,,,,天津市
277,天通控股股份有限公司,600330,天通股份,2001-01-18,,,,浙江省嘉兴市
278,四川宏达股份有限公司,600331,宏达股份,2001-12-20,,,,四川省成都市
279,广州白云山医药集团股份有限公司,600332,白云山,2001-02-06,,,,广东省广州市
280,长春燃气股份有限公司,600333,长春燃气,2000-12-11,,,,吉林省长春市
281,国机汽车股份有限公司,600335,国机汽车,2001-03-05,,,,天津市
282,澳柯玛股份有限公司,600336,澳柯玛,2000-12-29,,,,山东省青岛市
283,美克国际家居用品股份有限公司,600337,美克家居,2000-11-27,,,,新疆维吾尔自治区乌鲁木齐市
284,西藏珠峰资源股份有限公司,600338,西藏珠峰,2000-12-27,,,,西藏自治区拉萨市
285,新疆独山子天利高新技术股份有限公司,600339,*ST油工,2000-12-25,,,,新疆维吾尔自治区克拉玛依市
286,华夏幸福基业股份有限公司,600340,华夏幸福,2003-12-30,,,,河北省廊坊市
287,陕西航天动力高科技股份有限公司,600343,航天动力,2003-04-08,,,,陕西省西安市
288,武汉长江通信产业集团股份有限公司,600345,长江通信,2000-12-22,,,,湖北省武汉市
289,恒力石化股份有限公司,600346,恒力股份,2001-08-20,,,,辽宁省大连市
290,阳泉煤业（集团）股份有限公司,600348,阳泉煤业,2003-08-21,,,,山西省阳泉市
