,公司代码,公司简称,公司全称
482,600593,大连圣亚,大连圣亚旅游控股股份有限公司
483,600594,益佰制药,贵州益佰制药股份有限公司
484,600595,中孚实业,河南中孚实业股份有限公司
485,600596,新安股份,浙江新安化工集团股份有限公司
486,600597,光明乳业,光明乳业股份有限公司
487,600598,北大荒,黑龙江北大荒农业股份有限公司
488,600599,熊猫金控,熊猫金控股份有限公司
489,600600,青岛啤酒,青岛啤酒股份有限公司
490,600601,方正科技,方正科技集团股份有限公司
491,600602,云赛智联,云赛智联股份有限公司
492,600603,*ST兴业,大洲兴业控股股份有限公司
493,600604,市北高新,上海市北高新股份有限公司
494,600605,汇通能源,上海汇通能源股份有限公司
495,600606,绿地控股,绿地控股集团股份有限公司
496,600608,上海科技,上海宽频科技股份有限公司
497,600609,金杯汽车,金杯汽车股份有限公司
498,600610,中毅达,上海中毅达股份有限公司
499,600611,大众交通,大众交通（集团）股份有限公司
500,600612,老凤祥,老凤祥股份有限公司
501,600613,神奇制药,上海神奇制药投资管理股份有限公司
502,600614,鹏起科技,鹏起科技发展股份有限公司
503,600615,丰华股份,上海丰华（集团）股份有限公司
504,600616,金枫酒业,上海金枫酒业股份有限公司
505,600617,国新能源,山西省国新能源股份有限公司
506,600618,氯碱化工,上海氯碱化工股份有限公司
507,600619,海立股份,上海海立（集团）股份有限公司
508,600620,天宸股份,上海市天宸股份有限公司
509,600621,华鑫股份,上海华鑫股份有限公司
510,600622,嘉宝集团,上海嘉宝实业（集团）股份有限公司
511,600623,华谊集团,上海华谊集团股份有限公司
512,600624,复旦复华,上海复旦复华科技股份有限公司
513,600626,申达股份,上海申达股份有限公司
514,600628,新世界,上海新世界股份有限公司
515,600629,华建集团,华东建筑集团股份有限公司
516,600630,龙头股份,上海龙头（集团）股份有限公司
517,600633,浙报传媒,浙报传媒集团股份有限公司
518,600634,中技控股,上海中技投资控股股份有限公司
519,600635,大众公用,上海大众公用事业（集团）股份有限公司
520,600636,三爱富,上海三爱富新材料股份有限公司
521,600637,东方明珠,上海东方明珠新媒体股份有限公司
522,600638,新黄浦,上海新黄浦置业股份有限公司
523,600639,浦东金桥,上海金桥出口加工区开发股份有限公司
524,600640,号百控股,号百控股股份有限公司
525,600641,万业企业,上海万业企业股份有限公司
526,600642,申能股份,申能股份有限公司
527,600643,爱建集团,上海爱建集团股份有限公司
528,600644,乐山电力,乐山电力股份有限公司
529,600645,中源协和,中源协和细胞基因工程股份有限公司
530,600647,同达创业,上海同达创业投资股份有限公司
531,600648,外高桥,上海外高桥集团股份有限公司
532,600649,城投控股,上海城投控股股份有限公司
533,600650,锦江投资,上海锦江国际实业投资股份有限公司
534,600651,飞乐音响,上海飞乐音响股份有限公司
535,600652,游久游戏,上海游久游戏股份有限公司
536,600653,申华控股,上海申华控股股份有限公司
537,600654,中安消,中安消股份有限公司
538,600655,豫园商城,上海豫园旅游商城股份有限公司
539,600657,信达地产,信达地产股份有限公司
540,600658,电子城,北京电子城投资开发股份有限公司
541,600660,福耀玻璃,福耀玻璃工业集团股份有限公司
