,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,B股代码,B股简称,B股上市日期,城市
90,000418,小天鹅,无锡小天鹅股份有限公司,000418,小天鹅A,1997年3月28日,200418,小天鹅B,1996年7月18日,江苏省无锡市
91,000419,通程控股,长沙通程控股股份有限公司,000419,通程控股,1996年8月16日,,,,湖南省长沙市
92,000420,吉林化纤,吉林化纤股份有限公司,000420,吉林化纤,1996年8月2日,,,,吉林省吉林市
93,000421,南京中北,南京中北（集团）股份有限公司,000421,南京中北,1996年8月6日,,,,江苏省南京市
94,000422,湖北宜化,湖北宜化化工股份有限公司,000422,湖北宜化,1996年8月15日,,,,湖北省宜昌市
95,000423,东阿阿胶,山东东阿阿胶股份有限公司,000423,东阿阿胶,1996年7月29日,,,,山东省聊城市
96,000425,徐工科技,徐州工程机械科技股份有限公司,000425,徐工科技,1996年8月28日,,,,江苏省徐州市
97,000426,富龙热电,赤峰富龙热电股份有限公司,000426,富龙热电,1996年8月28日,,,,内蒙古赤峰市
98,000428,华天酒店,华天酒店集团股份有限公司,000428,华天酒店,1996年8月8日,,,,湖南省长沙市
99,000429,粤高速,广东省高速公路发展股份有限公司,000429,粤高速A,1998年2月20日,200429,粤高速B,1996年8-15日,广东省广州市
100,000430,张家界,张家界旅游开发股份有限公司,000430,SST张股,1996年8月29日,,,,湖南省张家界市
101,000488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,000488,晨鸣纸业,2000年11月20日,200488,晨鸣B,1997年5月26日,山东省寿光市
102,000498,丹东化纤,丹东化学纤维股份有限公司,000498,*ST丹化,1997年6月9日,,,,辽宁省丹东市
103,000501,鄂武商,武汉武商集团股份有限公司,000501,鄂武商A,1992年11月20日,,,,湖北省武汉市
104,000502,绿景地产,绿景地产股份有限公司,000502,绿景地产,1992年11月23日,,,,广东省广州市
105,000503,海虹控股,海虹企业（控股）股份有限公司,000503,海虹控股,1992年11月30日,,,,海南省海口市
106,000504,赛迪传媒,北京赛迪传媒投资股份有限公司,000504,赛迪传媒,1992年12月8日,,,,北京市
107,000505,珠江控股,海南珠江控股股份有限公司,000505,珠江控股,1992年12月21日,200505,珠江B,1995年6月29日,海南省海口市
108,000506,山东惠邦,山东惠邦地产股份有限公司,000506,S*ST东泰,1993年3月12日,,,,山东省济南市
109,000507,粤富华,珠海经济特区富华集团股份有限公司,000507,粤富华,1993年3月26日,,,,广东省珠海市
110,000509,同人华塑,华塑控股股份有限公司,000509,SST华塑,1993年5月7日,,,,四川省南充市
111,000510,金路集团,四川金路集团股份有限公司,000510,金路集团,1993年5月7日,,,,四川省德阳市
112,000511,银基发展,沈阳银基发展股份有限公司,000511,银基发展,1993年5月18日,,,,辽宁省沈阳市
113,000512,闽灿坤,厦门灿坤实业股份有限公司,,,,200512,闽灿坤B,1993年6月30日,福建省厦门市
114,000513,丽珠集团,丽珠医药集团股份有限公司,000513,丽珠集团,1993年10月28日,200513,丽珠B,1993年7月20日,广东省珠海市
115,000514,渝开发,重庆渝开发股份有限公司,000514,渝开发,1993年7月12日,,,,重庆市
116,000515,攀渝钛业,攀钢集团重庆钛业股份有限公司,000515,攀渝钛业,1993年7月12日,,,,重庆市
117,000516,开元控股,西安开元控股集团股份有限公司,000516,开元控股,1993年8月9日,,,,陕西省西安市
118,000517,甬成功,成功信息产业（集团）股份有限公司,000517,S*ST成功,1993年8月6日,,,,浙江省宁波市
119,000518,四环生物,江苏四环生物股份有限公司,000518,四环生物,1993年9月8日,,,,江苏省无锡市
120,000519,银河动力,成都银河动力股份有限公司,000519,银河动力,1993年10月8日,,,,四川省成都市
121,000520,长航凤凰,长航凤凰股份有限公司,000520,长航凤凰,1993年10月25日,,,,湖北省武汉市
122,000521,美菱电器,合肥美菱股份有限公司,000521,美菱电器,1993年10月18日,200521,皖美菱B,1996年8月28日,安徽省合肥市
123,000522,白云山,广州白云山制药股份有限公司,000522,白云山A,1993年11月8日,,,,广东省广州市
124,000523,广州浪奇,广州市浪奇实业股份有限公司,000523,广州浪奇,1993年11月8日,,,,广东省广州市
125,000524,东方宾馆,广州市东方宾馆股份有限公司,000524,东方宾馆,1993年11月18日,,,,广东省广州市
126,000525,红太阳,南京红太阳股份有限公司,000525,红太阳,1993年10月28日,,,,江苏省南京市
127,000526,旭飞投资,厦门旭飞投资股份有限公司,000526,旭飞投资,1993年11月1日,,,,福建省厦门市
128,000527,美的电器,广东美的电器股份有限公司,000527,美的电器,1993年11月12日,,,,广东省佛山市
